V161198,V161178,V161126,V161310x,V161196x,V160101,V161087
5,3,4,White,4,0.6381,40
1,7,NA,NA,7,0.2769,15
4,3,6,White,1,1.734,85
4,7,4,White,4,0.6385,50
6,5,6,White,4,0.5322,85
NA,NA,4,NA,1,0.2922,10
6,3,4,White,4,0.7824,70
3,7,4,Black,4,0.5927,50
6,4,5,White,1,0.4373,70
7,NA,NA,White,7,2.2922,85
4,3,6,White,1,0.3435,85
5,5,6,Black,7,0.8609,20
NA,4,6,NA,1,1.1277,85
5,4,4,White,6,0.5694,15
5,4,7,NA,2,0.3753,100
4,3,5,White,7,0.7892,0
5,3,3,NA,1,1.3172,40
7,3,4,White,7,1.6129,0
7,5,4,White,1,2.0161,60
4,7,2,White,4,0.7608,0
3,4,3,NA,4,0.4788,15
4,6,3,White,7,1.1924,0
5,3,6,White,7,0.9609,15
6,3,7,NA,2,1.3455,100
4,4,6,White,7,0.2784,40
6,2,6,White,1,0.6532,70
2,NA,3,Black,7,1.3815,0
3,3,3,White,7,0.6752,0
5,4,6,White,1,0.3613,75
4,NA,NA,NA,7,0.2988,0
4,7,NA,Black,7,1.4141,0
NA,3,3,NA,7,0.4576,30
3,3,2,White,7,0.6184,10
4,4,4,White,7,0.6729,40
4,5,3,White,7,1.4986,0
4,4,6,NA,7,1.1902,15
1,7,3,NA,7,0.4058,0
2,4,4,NA,4,0.693,50
7,4,5,Black,7,0.6918,0
4,NA,NA,White,4,1.1924,15
2,5,2,White,7,0.4113,0
7,7,7,White,1,0.774,100
6,2,6,White,1,0.8844,100
NA,NA,NA,White,4,1.8017,3
5,1,7,White,1,0.6023,70
1,NA,1,Black,4,1.6791,0
6,5,4,White,7,0.7764,0
NA,1,NA,White,5,0.0895,10
6,2,4,White,2,0.3567,30
3,4,2,White,7,0.9335,0
5,5,3,NA,4,0.8752,40
4,3,7,White,2,1.7884,70
7,1,6,White,1,0.8407,30
3,4,4,White,1,0.8261,85
1,4,5,White,4,0.6542,0
6,4,3,White,7,0.8655,0
4,4,6,White,1,2.5427,70
1,5,3,White,7,1.2748,0
2,4,NA,Black,7,2.4291,60
3,3,6,White,2,0.7359,70
1,5,1,White,7,1.5574,0
4,1,6,White,7,1.0909,85
3,5,NA,White,7,0.5757,60
3,4,4,White,6,0.3422,30
5,6,4,Black,7,1.2309,15
4,3,5,White,2,0.2624,40
NA,4,3,Black,7,0.2555,0
7,1,7,White,2,0.7924,70
5,5,3,NA,7,0.8314,30
NA,NA,NA,White,7,1.8008,30
4,4,5,White,1,0.9152,85
1,NA,5,Black,5,1.7835,0
3,3,4,NA,7,0.438,0
2,7,1,White,7,1.2161,0
5,3,5,White,2,0.474,60
3,7,2,White,7,0.6347,0
6,4,6,White,1,1.04,85
3,3,NA,Black,1,0.8664,0
6,2,6,White,4,2.6972,85
4,5,NA,White,6,0.6184,0
4,5,3,White,6,1.159,0
5,4,6,White,2,1.0622,85
1,6,4,Black,2,0.8104,0
3,3,4,White,6,1.0575,15
6,1,5,White,1,0.3796,15
NA,4,5,White,1,0.2668,60
5,2,5,White,7,1.1859,0
5,2,6,NA,2,0.3359,85
6,1,4,White,1,0.7642,100
7,3,4,White,1,3.6405,60
3,3,3,NA,4,1.0214,50
4,5,2,Black,7,0.3104,0
6,3,6,White,1,0.8263,70
1,7,NA,NA,7,0.3643,0
7,4,6,White,7,0.7585,50
6,NA,NA,White,4,0.5655,60
6,NA,NA,White,2,0.3507,85
6,2,4,White,1,1.3845,85
5,5,NA,NA,7,1.4311,15
NA,5,2,NA,7,1.5843,0
4,4,4,White,1,0.5287,85
6,2,5,White,4,0.836,85
3,5,2,White,7,0.4834,15
4,7,5,NA,7,1.9006,0
5,2,3,NA,7,0.2833,15
5,3,4,White,2,1.6739,70
4,4,3,White,7,0.3076,15
5,1,6,NA,7,1.8717,50
NA,7,NA,White,7,0.4537,0
7,NA,NA,White,4,2.0398,50
6,2,NA,White,2,0.7822,85
6,5,NA,White,7,0.6028,30
2,5,4,NA,7,0.7615,50
5,4,4,NA,7,0.9032,0
6,5,6,NA,7,0.8606,0
3,4,4,NA,4,1.4119,60
NA,NA,4,White,4,0.808,15
4,1,NA,NA,6,0.4018,0
2,4,2,White,7,1.0751,85
7,4,5,White,4,0.9218,0
7,1,7,White,4,0.3386,60
7,3,NA,White,1,1.9163,30
4,5,NA,White,7,1.2728,30
7,5,NA,White,1,0.9312,60
6,3,6,White,3,0.5575,60
3,4,NA,White,2,0.8323,50
5,6,2,White,6,0.2976,50
5,3,5,White,NA,1.5714,70
6,1,6,White,1,0.9938,100
7,3,4,White,7,1.505,60
7,2,6,White,1,0.5424,70
5,3,7,NA,1,0.301,70
7,1,7,NA,6,0.51,60
2,4,NA,White,2,1.2333,100
6,2,6,White,3,0.6403,70
7,4,NA,White,4,0.9081,70
5,4,5,NA,7,1.1414,0
7,3,6,White,2,0.7708,60
6,5,NA,White,6,1.108,15
4,NA,3,NA,7,0.2198,0
4,3,4,White,6,0.5869,60
3,2,5,White,4,1.8919,85
4,2,6,White,2,0.3988,70
7,NA,NA,White,7,1.8338,0
3,NA,2,White,7,1.5337,0
1,5,4,NA,7,0.4776,40
NA,NA,NA,NA,4,0.4213,0
2,7,2,White,7,0.9869,0
4,7,4,White,7,1.4477,0
7,3,6,White,1,0.5257,70
NA,4,NA,NA,4,1.2906,0
3,NA,6,NA,1,0.4066,100
6,5,7,White,4,0.3419,60
2,3,3,White,7,1.3931,30
4,5,4,NA,7,0.8345,0
7,2,NA,White,5,1.3072,50
1,4,NA,NA,7,0.7086,0
NA,NA,NA,Black,6,0.418,0
7,6,7,NA,1,0.8458,80
4,5,5,White,3,1.0346,40
NA,3,4,NA,6,0.7431,85
7,7,NA,Black,7,2.3177,40
7,4,NA,White,6,0.3074,60
7,NA,6,White,1,0.5272,85
5,3,3,White,7,0.3288,30
4,4,6,White,4,0.7314,70
1,6,5,NA,4,1.7708,0
NA,4,3,White,4,0.3776,15
4,4,6,White,6,0.4729,60
NA,7,NA,White,4,1.1862,70
NA,2,6,White,4,0.8077,85
4,5,3,White,6,0.7824,0
7,4,NA,NA,7,0.2459,40
6,4,4,White,7,0.8394,15
3,3,5,White,6,1.3576,60
5,3,5,White,7,1.8431,40
4,4,NA,White,4,1.5089,50
4,4,4,NA,6,0.8333,50
6,1,5,White,4,0.7685,65
6,4,NA,White,6,0.2854,40
7,4,NA,White,1,0.3726,70
7,3,NA,White,2,0.5167,70
5,6,6,NA,7,0.9011,70
2,7,2,Black,7,0.4298,0
1,5,2,White,7,1.4707,0
3,NA,NA,Black,4,2.0074,50
6,3,5,NA,4,2.9693,70
5,4,6,White,1,0.279,85
7,1,5,White,1,0.6669,100
5,3,4,Black,7,0.3073,30
4,4,NA,Black,7,1.1662,30
5,5,6,Black,7,0.5544,50
4,7,4,Black,1,0.4268,50
3,4,5,White,3,0.9614,50
3,3,5,NA,7,1.2058,15
7,4,NA,NA,6,0.8218,0
6,NA,NA,White,4,5.3885,50
7,1,7,NA,1,0.3993,30
2,6,1,White,5,0.6492,0
6,3,4,White,7,1.3854,0
6,2,4,NA,7,1.835,40
1,4,NA,NA,7,0.2542,0
6,2,4,White,2,0.4192,85
5,2,6,NA,1,0.24,85
7,5,NA,White,4,0.4908,85
5,3,4,White,7,0.3878,15
4,6,4,Black,7,0.772,30
4,4,5,White,7,0.6418,85
4,4,4,NA,7,0.358,0
6,4,4,White,1,0.4746,100
2,6,2,White,7,0.4303,0
7,3,6,White,1,0.2551,70
4,4,NA,NA,4,1.2848,50
7,1,7,White,4,0.6378,30
7,1,6,White,1,1.4091,100
NA,1,5,White,6,0.6182,30
4,6,2,NA,7,0.8843,0
4,NA,5,White,4,1.4842,70
NA,6,NA,White,4,3.1978,50
2,5,4,NA,7,0.5875,30
7,3,5,White,1,1.0265,70
6,NA,4,White,7,1.5828,40
5,4,5,White,2,0.359,50
3,3,2,White,7,0.9216,0
1,1,4,NA,7,0.5434,85
7,3,6,White,7,1.9183,60
7,1,7,White,2,0.2242,75
4,1,6,White,1,0.7458,60
7,2,6,White,1,1.8398,70
2,4,NA,White,1,0.2715,85
7,4,NA,White,4,0.445,60
4,7,4,White,4,0.9472,0
4,NA,4,White,5,0.973,60
7,1,7,White,1,0.5848,70
6,5,4,White,4,1.002,60
3,7,2,White,7,0.6893,30
1,5,2,Black,4,0.9356,0
6,7,3,Black,4,0.5245,15
5,NA,6,White,1,0.8957,40
6,NA,NA,NA,4,1.8499,50
7,2,6,White,5,0.707,70
6,4,3,White,1,1.0946,85
5,3,6,White,4,1.1168,50
4,5,NA,Black,7,1.607,0
5,3,3,White,7,0.9872,0
NA,7,NA,NA,4,0.478,0
6,4,4,NA,7,0.7129,0
7,2,6,White,6,0.3378,70
3,4,3,White,5,0.9549,0
4,6,4,Black,7,0.4723,0
4,2,5,White,2,0.6316,60
4,3,6,White,1,0.3099,85
NA,2,6,White,1,1.6524,85
6,3,5,White,4,1.1512,70
7,1,6,White,6,0.3412,70
7,4,5,White,5,0.3424,100
2,4,4,Black,1,0.9717,40
2,4,3,Black,7,0.5834,15
3,5,4,White,7,0.4271,0
4,3,4,NA,7,0.7955,0
4,4,4,White,6,0.524,15
4,4,4,White,5,0.8082,0
NA,4,NA,White,6,0.9582,85
4,4,4,White,7,0.8717,0
5,6,6,NA,7,0.8085,0
2,7,2,NA,7,1.891,40
4,NA,4,NA,7,0.6686,0
1,5,2,Black,7,0.6708,0
2,7,1,NA,7,0.2774,0
2,4,3,White,7,0.8754,21
6,6,1,Black,7,0.8465,0
5,3,6,NA,4,1.8622,40
7,1,6,White,4,1.689,100
3,6,3,White,7,1.2396,0
5,5,5,NA,7,0.5147,50
3,6,2,White,7,0.6911,0
NA,4,5,White,4,1.8659,30
4,4,6,NA,7,2.2636,0
4,4,6,White,6,0.991,70
3,5,2,White,7,0.6744,0
NA,NA,NA,White,6,0.7446,0
NA,6,NA,NA,7,0.4527,0
4,7,NA,Black,7,1.7241,0
5,2,6,White,1,0.917,85
1,NA,3,Black,7,0.795,15
