"","V160001","V160101","V160101f","V160101w","V160102","V160102f","V160102w","V160501","V161002","V161003","V161004","V161005","V161006","V161027","V161030","V161031","V161080x","V161082x","V161083x","V161084x","V161085x","V161086","V161087","V161088","V161089","V161090","V161091","V161092","V161093","V161094","V161095","V161096","V161112","V161114x","V161127","V161140x","V161141x","V161142x","V161158x","V161159","V161160","V161161","V161162","V161163","V161164","V161165","V161166","V161167","V161168","V161169","V161170","V161178","V161181","V161184","V161187","V161189","V161192","V161194x","V161195x","V161196x","V161197","V161198","V161201","V161204x","V161213x","V161214x","V161225x","V161226x","V161227x","V161228x","V161229x","V161231","V161232","V161233x","V161234","V161235x","V161241","V161242","V161243","V161265x","V161267","V161267x","V161268","V161270","V161275x","V161308x","V161309","V161310a","V161310b","V161310c","V161310d","V161310e","V161310f","V161310x","V161324","V161331x","V161430","V162034a","V162035","V162036a","V162045x","V162058x","V162059x","V162060x","V162061x","V162062x","V162094","V162095","V162096","V162101","V162106","V162107","V162108","V162110","V162113","V162176x","V162230x","V162231x","V162238x","V162255x","V162298","V162310","V162311","V162312","V162313","V162314","V162345","V162346","V162347","V162348","V162349","V162350","V162351","V162352","V162353","V162354","V162355","V162356","V162357","V162358","V162359","V162360","V162361","V162362","V162363","V162364","V162365","V162366","V162367"
"2972",NA,0.9037,0,0.8834,0.8779,0,0.8597,2,NA,4,2,2,NA,NA,2,NA,2,4,4,3,4,15,96,96,NA,98,80,5,0,NA,50,90,1,7,2,1,1,5,6,4,5,3,5,5,1,2,3,3,1,4,5,NA,6,NA,3,7,1,6,3,2,4,7,NA,7,4,5,4,1,2,2,4,1,4,1,3,4,2,NA,3,NA,23,2,1,10,10,NA,2,1,0,0,0,0,0,1,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"87","64","6","63","18","87","74","99","4","4","4","4","5","3","2","51","51","17","2","100","1","5","1","3","4","4","4","4","4","4","4","4","5","4","4","5","4","4","4","5","4","4","5"
"2973",NA,0.3425,0,0.3338,0.3228,0,0.3227,2,NA,3,2,2,NA,NA,NA,NA,2,2,2,3,3,60,30,NA,40,50,60,70,85,NA,50,50,1,2,NA,2,4,2,4,4,3,2,3,3,4,5,3,4,2,4,3,3,5,5,1,3,3,4,5,7,1,4,3,6,2,4,4,2,5,5,1,1,3,3,2,4,1,3,1,NA,60,10,6,14,10,NA,2,1,0,0,1,0,0,6,0,40,NA,NA,NA,NA,10,30,NA,NA,NA,NA,"60","70","70","70","70","85","70","85","50","2","4","4","4","9","2","85","85","85","15","85","3","3","3","3","2","3","3","2","3","2","3","2","3","3","3","2","5","3","2","4","2","5","4"
"2974",NA,1.1311,0,1.105,1.1298,0,1.1272,2,NA,3,1,1,1,NA,1,1,4,1,1,1,2,70,0,50,50,50,50,100,85,NA,85,30,1,2,3,3,3,2,7,1,3,1,3,2,4,5,5,5,2,3,5,5,4,3,1,4,3,1,6,2,2,3,2,4,6,7,2,1,1,5,1,1,4,1,1,2,1,2,2,NA,41,6,1,14,10,NA,2,0,1,0,0,0,0,2,4,5,0,1,1,NA,1,10,10,NA,NA,1,"50","30","85","60","70","85","70","60","85","2","4","1","4","10","2","50","40","70","40","60","2","3","2","1","5","5","6","4","5","4","4","2","5","3","3","1","4","4","1","5","2","4","2"
"2975",NA,0.7855,0,0.7681,0,0,0,2,NA,1,1,1,2,NA,1,2,1,4,4,4,2,5,86,60,52,17,81,4,42,55,29,61,1,2,NA,4,4,3,1,4,5,1,5,5,2,2,2,2,1,2,5,2,6,4,3,5,3,1,5,3,1,7,NA,7,2,7,7,3,6,1,1,1,4,1,2,5,1,3,1,NA,39,5,4,11,10,NA,2,1,0,0,0,0,0,1,2,39,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2976",NA,0.4373,0,0.4275,0,0,0,2,NA,3,1,1,2,NA,1,2,3,4,4,4,4,0,100,50,50,50,100,0,0,50,0,100,1,4,NA,4,2,3,7,5,5,5,5,5,1,3,2,3,1,5,4,NA,7,7,1,99,3,2,5,2,1,6,7,7,2,7,7,2,5,1,1,2,2,1,2,3,1,2,1,NA,52,8,1,13,10,NA,2,1,0,0,0,0,0,1,1,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2977",NA,1.4141,0,1.3694,1.4766,0,1.472,2,NA,2,1,2,NA,NA,1,2,4,4,4,4,4,2,61,NA,NA,NA,NA,1,2,NA,15,17,2,7,NA,3,3,5,5,5,5,5,5,5,4,4,4,5,2,5,4,1,3,6,3,4,1,4,1,4,1,6,3,7,4,6,7,2,2,1,3,3,2,1,2,5,2,NA,2,NA,53,8,4,10,10,NA,2,1,0,0,0,0,0,1,0,1,NA,NA,NA,NA,31,31,NA,NA,NA,NA,"30","41","40","40","41","50","51","60","1","4","4","6","5","3","2","51","51","50","0","50","4","4","4","4","4","4","4","4","5","4","5","4","1","1","1","1","1","1","1","1","1","1","5"
"2978",NA,1.2752,0,1.2339,1.4316,0,1.4172,2,NA,2,1,1,1,NA,1,1,3,2,2,2,3,61,1,1,0,51,1,84,86,49,70,1,1,2,3,3,3,3,2,3,3,3,3,3,5,5,5,5,5,3,5,NA,NA,NA,3,99,3,6,6,4,1,NA,NA,4,4,4,4,4,5,1,2,1,1,1,3,3,1,2,1,NA,86,13,1,7,50,NA,2,1,0,0,0,0,0,1,0,24,NA,1,2,NA,11,10,10,10,NA,1,"100","15","50","70","70","100","100","100","100","4","2","4","5","9","2","30","50","70","30","85","1","5","5","2","1","1","1","1","1","1","1","1","3","3","3","1","3","2","2","3","2","3","5"
"2979",NA,0.6022,0,0.5883,0.6259,0,0.6208,2,NA,4,3,2,NA,NA,1,2,3,4,4,4,4,0,84,60,50,51,49,10,0,47,28,88,1,4,3,4,2,4,6,5,5,3,5,5,2,2,2,2,2,3,4,5,6,NA,2,99,3,2,5,4,3,NA,NA,4,4,4,1,1,4,1,2,1,3,1,2,4,1,2,2,NA,24,2,1,13,80,NA,2,1,0,0,0,0,0,1,0,1,NA,2,2,NA,1,11,11,NA,NA,2,".","50","50","51","49","95","51","88","50","4","4","4","4",".","2","76","81","81","51","79","4","4","4","4","4","4","4","4","4","4","3","3","2","2","2","2","2","2","2","2","2","2","4"
"2980",NA,1.1393,0,1.1087,1.087,0,1.0601,2,NA,4,1,1,1,NA,1,1,4,1,1,1,1,76,0,50,50,50,50,100,86,50,89,0,1,4,NA,3,3,3,1,3,3,2,2,2,5,5,5,5,2,3,5,5,2,3,1,4,4,4,6,7,1,4,1,4,4,4,1,1,6,6,1,1,4,3,3,3,2,NA,3,NA,62,10,1,14,40,NA,2,0,1,0,0,0,0,2,0,30,0,1,1,NA,11,10,10,10,NA,1,"85","40","85","30","50","50","85","60","85","4","4","1",".","6","2","50","50","70","50","40","1","1","1","1","4","4","4","2","4","4","4","5","5","4","4","1","5","5","1","5","2","5","2"
"2981",NA,0.3938,0,0.385,0.3707,0,0.3506,2,NA,4,2,2,NA,NA,2,NA,2,4,3,4,4,23,59,NA,NA,NA,NA,6,41,NA,14,72,1,7,3,3,3,4,6,5,4,2,5,2,1,4,1,1,1,2,5,NA,NA,7,2,7,2,1,5,4,1,7,NA,7,4,7,4,1,6,5,1,1,4,1,2,4,2,NA,2,NA,43,6,5,10,10,NA,2,1,0,0,0,0,0,1,0,17,0,NA,NA,NA,11,30,NA,NA,NA,NA,"87","11","15","19","50","60","52","59","17","4","4","4","4","9","2","61","83","60","32","58","3","3","1","2","4","5","2","2","5","3","6","3","4","4","3","2","4","3","2","5","2","4","5"
"2982",NA,0.3425,0,0.3338,0.3228,0,0.3227,2,NA,1,1,1,2,NA,1,2,4,4,4,4,4,0,85,0,0,0,86,0,0,50,0,70,1,7,NA,5,2,5,5,5,5,5,5,5,1,1,1,1,1,5,3,1,7,7,2,7,1,1,2,1,1,7,6,7,1,7,7,4,1,1,4,3,3,1,2,5,1,3,2,NA,73,12,NA,13,10,NA,2,1,0,0,0,0,0,1,0,14,0,2,1,NA,11,11,11,11,NA,2,"86","70","2","97","15","98","98","98","3","7","1","7","5","1","2","85","85","87","1","85","4","4","4","4","4","4","4","4","4","4","7","4","2","3","3","4","2","3","3","4","5","4","2"
"2983",NA,1.8545,0,1.7954,1.7655,0,1.729,2,NA,3,2,2,NA,NA,1,1,2,1,1,1,1,77,0,60,70,70,0,90,60,50,70,15,1,2,NA,3,2,2,2,1,2,1,3,2,5,5,5,5,1,2,5,2,4,4,1,4,3,2,4,7,2,4,1,4,2,1,1,1,1,2,1,1,2,4,2,1,1,3,2,NA,20,1,6,10,10,NA,2,1,0,0,0,0,0,1,0,11,NA,1,1,NA,11,10,11,10,NA,1,"50","50","80","0","100","100","100","85","55","4","4","7","1","10","2","13","40","85","45","80","2","2","2","2","3","3","3","3","3","3","2","2","3","2","2","2","3","2","2","3",".","2","5"
"2984",NA,0.7335,0,0.7165,0.745,0,0.726,2,NA,4,2,2,NA,NA,1,1,1,1,1,1,1,70,0,55,51,50,51,83,52,51,70,33,1,7,NA,3,1,3,6,3,2,4,3,3,5,5,5,4,3,3,5,7,7,1,1,3,3,4,6,4,1,1,1,2,7,1,1,1,6,1,1,3,2,1,2,3,1,3,1,NA,30,4,1,11,10,NA,1,1,0,0,0,0,0,5,2,4,NA,1,2,NA,11,10,10,10,NA,1,"50","50","6","50","50","51","50","100","62","4","3","1","1","10","2","50","50","50","100","50","3","3","3","3","1","1","2","1","1","1","1","1","4","4","3","2","3","3","3","3","3","4","1"
"2985",NA,0.439,0,0.4291,0.408,0,0.3961,2,NA,3,2,1,1,NA,1,2,2,3,2,3,2,NA,40,50,50,50,50,40,70,50,60,70,1,4,NA,4,3,3,6,3,3,1,5,3,2,4,3,3,1,2,4,NA,NA,NA,1,2,2,6,6,5,1,4,2,7,6,6,4,1,6,5,1,1,4,1,2,3,1,1,2,NA,27,3,6,13,10,NA,2,1,0,0,0,0,0,1,0,3,0,2,2,NA,1,11,11,NA,NA,2,"50","30","40","70","30","70","60","60","40","2","4","3","5","1","2","70","60","60","3","85","2","6","2","1","2","6","4","2","4","2","5","3","3","3","1","1","4","3","1","4","2","4","5"
"2986",NA,0.3771,0,0.3646,0.3927,0,0.3924,2,NA,3,2,1,1,NA,1,1,3,2,2,4,1,70,0,NA,85,70,0,100,85,NA,55,5,1,2,NA,3,2,4,6,2,3,2,4,2,5,5,5,5,1,2,5,7,1,5,1,1,3,7,6,7,2,1,1,2,5,2,1,3,6,6,1,1,4,4,2,2,1,2,2,NA,26,3,6,13,40,NA,2,0,0,0,0,0,1,3,0,8,0,1,1,NA,11,10,10,10,NA,1,"100","5","100","0","85","60","40","5","100","4","4","1","2","10","2","100","100","100","85","15","4","1","1","1","7","2","2","1","1","4","2","2","5","5","5","1","5","5","1","5","1","5","2"
"2987",NA,0.9864,0,0.955,0.9749,0,0.9339,2,NA,2,2,1,5,NA,1,2,4,4,4,4,4,0,30,15,0,0,70,0,0,15,0,60,1,7,NA,5,3,4,5,5,5,5,5,5,3,4,4,4,3,5,4,1,6,6,3,3,1,1,2,2,1,6,3,7,1,7,7,2,1,1,4,3,2,4,2,5,1,3,1,NA,48,7,1,12,10,NA,2,1,0,0,0,0,0,1,3,8,0,2,1,NA,31,11,11,11,11,2,"60","100","0","100","15","100","85","100","15","7","1","6","5","3","2","85","85","85","40","85","4","4","4","4","4","4","4","4","6","2","7","2","2","2","2","2","1","2","1","2","4","1","2"
"2988",NA,0.9164,0,0.8958,0.8741,0,0.8312,2,NA,2,1,1,1,NA,1,1,4,1,1,1,1,82,2,49,NA,63,28,82,76,NA,62,13,1,1,NA,2,3,2,7,1,1,1,3,3,5,5,5,5,1,1,5,5,3,3,1,3,4,7,6,7,2,2,2,1,4,1,1,1,5,6,1,1,4,3,3,1,2,NA,NA,NA,48,7,4,13,10,NA,2,1,0,0,0,0,0,1,2,6,0,1,1,NA,11,10,12,10,NA,1,"90","30","100","30","50","50","55","80","80","3","4","1","2","10","1","70","70","85","60","70","4","4","4","4","4","4","4","4","4","4","4","4","5","5","5","1","5","5","1","5","2","5","5"
"2989",NA,0.5004,0,0.4891,0.5121,0,0.5186,2,NA,1,1,1,1,NA,1,2,4,1,1,2,1,70,60,NA,40,85,70,100,70,NA,40,0,1,1,NA,3,1,3,6,1,1,1,4,3,1,3,3,4,1,1,4,5,1,2,3,4,1,1,1,1,1,1,1,1,7,7,1,5,6,2,1,2,4,1,2,2,1,3,1,NA,68,11,1,14,50,NA,2,0,1,0,0,0,0,2,0,40,0,2,1,NA,1,11,10,NA,NA,2,"50","70","60","40","60","100","100","70","85","1","2","1","1","10","2","60","55","100","0","70","2","2","2","2","2","2","2","2","3","1","5","1","4","2","2","2","4","4","2","5","2","5","1"
"2990",NA,0.8592,0,0.8397,0.8425,0,0.8185,2,NA,2,2,1,2,NA,1,2,4,4,3,4,4,15,60,NA,NA,NA,50,26,56,NA,8,77,1,6,NA,3,4,1,7,5,5,3,5,4,2,3,3,4,1,3,5,2,4,7,3,7,3,1,5,4,2,6,4,7,2,7,4,4,2,2,1,1,4,1,2,1,2,NA,3,NA,29,3,1,13,10,NA,2,1,0,0,0,0,0,1,4,25,0,2,2,NA,11,11,NA,11,NA,2,"75","50","55","80","50","50","30","100","0","2","1","2","5","6","2","50","50","50","0","50","3","4","4","3","3","5","3","1","6","2","5","2","3","3","2","2","4","3","2","4","2","5","5"
"2991",NA,0.6151,0,0.6012,0.5993,0,0.5886,2,NA,2,1,1,1,NA,1,1,4,2,2,1,2,60,0,50,50,50,0,85,70,50,60,15,1,3,3,2,3,2,3,3,3,2,4,2,5,5,5,5,1,4,5,4,5,NA,1,5,4,6,6,7,2,3,1,2,1,1,1,6,6,6,1,1,4,1,2,1,2,NA,3,NA,84,13,1,13,50,NA,2,1,0,0,0,0,0,1,0,40,0,1,1,NA,11,10,10,10,NA,1,"86","19","62","22","62","70","64","65","54","1","4","1","5","10","2","73","62","66","47","69","4","3","4","6","4","3","3","2","4","5","4","4","4","3","3","3","4","3","2","4","2","5","5"
"2992",NA,0.8742,0,0.8464,0,0,0,2,NA,1,1,1,1,NA,1,1,3,1,2,1,2,85,0,50,50,70,50,100,70,50,70,40,1,4,3,1,4,3,1,2,3,2,3,2,5,5,5,5,5,1,5,4,NA,4,1,99,3,4,6,7,2,NA,6,6,4,4,2,6,6,5,2,1,4,4,1,1,2,NA,NA,NA,66,11,1,14,50,NA,2,1,0,0,0,0,0,1,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2993",NA,1.5474,0,1.5125,0,0,0,2,NA,4,2,1,2,NA,1,2,4,4,3,4,4,15,100,15,50,40,100,30,50,50,50,85,1,6,NA,3,3,4,4,5,5,3,5,1,2,1,3,3,1,5,3,3,6,6,3,99,3,4,1,1,1,4,5,7,4,7,6,4,1,5,1,2,2,1,2,3,1,2,2,NA,71,12,1,11,50,NA,2,1,0,0,0,0,0,1,0,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2994",NA,1.5067,0,1.4583,1.5363,0,1.5041,2,NA,2,1,1,5,NA,1,2,4,4,4,4,4,0,70,50,50,50,50,0,0,50,0,60,1,7,3,5,3,5,6,5,5,4,5,3,2,2,2,2,1,5,5,2,6,7,2,6,1,6,2,4,1,7,4,7,6,7,2,4,1,1,1,2,3,1,2,5,1,3,2,NA,56,9,1,13,10,NA,2,1,0,0,0,0,0,1,0,24,1,2,1,NA,11,11,11,NA,NA,2,"100","70","70","70","30","100","85","100","0","4","1","5","5","3","2","50","50","50","15","50","3","3","3","3","3","3","3","3","4","3","7","1","3","3","3","3","3","3","3","3","3","3","5"
"2995",NA,0.8438,0,0.8245,0.832,0,0.8141,2,NA,3,2,1,1,NA,1,1,3,1,1,1,2,72,0,50,NA,61,17,85,59,60,87,16,1,1,NA,3,3,3,7,1,2,1,2,1,3,4,4,4,4,2,5,6,5,2,1,4,3,4,5,7,1,3,2,2,6,4,3,1,6,6,1,1,4,1,2,1,1,1,2,NA,58,9,1,13,10,NA,2,1,0,0,0,0,0,1,0,8,0,1,1,NA,31,10,10,10,10,1,"84","29","65","42","84","76","80","85","79","4","4","2","2","10","2","76","72","82","41","77","3","3","3","2","3","3","3","3","3","3","3","3","2","2","2","2","5","2","2","5","2","5","5"
"2996",NA,0.5178,0,0.5061,0.639,0,0.6276,2,NA,1,2,1,1,NA,1,1,2,3,3,4,4,100,85,60,70,70,40,85,85,40,70,40,1,7,3,5,2,4,6,1,2,2,2,2,5,5,1,5,2,4,5,5,4,NA,2,1,NA,7,6,4,1,4,NA,4,7,2,1,7,6,6,1,NA,NA,1,3,3,2,NA,3,NA,34,4,1,5,10,NA,1,1,0,0,0,0,0,5,4,13,NA,1,2,NA,1,10,11,NA,NA,1,"85","50","50","50","50","0","0","70","60","1","1","1","4","10","1","50","60","50","60","60","4","6","2","5","1","4","4","3","5","1","3","2","4","4","2","1","3","2","2","4","3","3","2"
"2997",NA,0.9151,0,0.8944,0,0,0,2,NA,4,2,1,2,NA,1,1,4,2,3,1,4,30,0,40,50,50,50,60,50,50,40,60,1,4,NA,3,4,3,5,4,5,3,5,3,5,5,5,5,1,4,5,4,4,6,1,5,2,4,4,7,1,4,2,5,4,4,4,1,1,2,1,2,1,3,2,3,1,3,2,NA,43,6,1,16,10,NA,2,1,0,0,0,0,0,1,3,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2998",NA,0.8567,0,0.8356,0.8526,0,0.8147,2,NA,2,2,1,1,NA,1,1,4,1,1,1,1,78,15,NA,NA,NA,NA,80,75,NA,75,30,1,1,NA,2,2,2,1,3,3,3,4,4,5,4,5,5,5,3,5,3,4,1,1,5,3,4,6,7,2,4,3,6,4,4,4,1,6,6,1,1,3,1,2,3,1,1,2,NA,57,9,1,11,10,NA,2,1,0,0,0,0,0,1,0,5,0,1,1,NA,31,10,11,10,10,1,"97","78","57","52","74","81","71","70","75","1","4","4","4","8","2","86","86","70","61","70","2","3","2","2","2","3","2","3","4","2","1","2","3","3","3","2","2","3","2","4","2","4","5"
"2999",NA,0.4855,0,0.4698,0.464,0,0.4558,2,NA,4,3,2,NA,NA,NA,NA,4,1,2,2,1,41,0,60,NA,NA,NA,100,88,NA,59,6,1,2,NA,3,3,2,3,3,5,4,4,5,4,5,5,5,2,3,5,7,1,1,3,5,4,6,5,7,2,5,1,6,6,4,1,1,2,4,1,1,4,3,3,1,2,NA,3,NA,36,5,6,11,10,NA,2,1,0,0,0,0,0,1,0,7,0,NA,NA,NA,10,32,NA,NA,NA,NA,"100","8","70","37","100","74","50","39","33","3","4","4","5","10","2","88","95","89","66","84","4","4","3","3","4","4","4","4","4","4","4","3","4","3","2","1","3","3","1","4","1","3","5"
